%  Acceleration     Cylinders      Displacement     Horsepower          MPG           Weight 
   1.0000000e+01   8.0000000e+00   4.5500000e+02   2.2500000e+02   1.4000000e+01   3.0860000e+03
   1.5000000e+01   4.0000000e+00   1.1300000e+02   9.5000000e+01   2.4000000e+01   2.3720000e+03
   1.5500000e+01   6.0000000e+00   1.9800000e+02   9.5000000e+01   2.2000000e+01   2.8330000e+03
   1.5500000e+01   6.0000000e+00   1.9900000e+02   9.7000000e+01   1.8000000e+01   2.7740000e+03
   1.6000000e+01   6.0000000e+00   2.0000000e+02   8.5000000e+01   2.1000000e+01   2.5870000e+03
   1.4500000e+01   4.0000000e+00   9.7000000e+01   8.8000000e+01   2.7000000e+01   2.1300000e+03
   2.0500000e+01   4.0000000e+00   9.7000000e+01   4.6000000e+01   2.6000000e+01   1.8350000e+03
   1.7500000e+01   4.0000000e+00   1.1000000e+02   8.7000000e+01   2.5000000e+01   2.6720000e+03
   1.4500000e+01   4.0000000e+00   1.0700000e+02   9.0000000e+01   2.4000000e+01   2.4300000e+03
   1.7500000e+01   4.0000000e+00   1.0400000e+02   9.5000000e+01   2.5000000e+01   2.3750000e+03
   1.2500000e+01   4.0000000e+00   1.2100000e+02   1.1300000e+02   2.6000000e+01   2.2340000e+03
   1.5000000e+01   6.0000000e+00   1.9900000e+02   9.0000000e+01   2.1000000e+01   2.6480000e+03
   1.4000000e+01   8.0000000e+00   3.6000000e+02   2.1500000e+02   1.0000000e+01   4.6150000e+03
   1.5000000e+01   8.0000000e+00   3.0700000e+02   2.0000000e+02   1.0000000e+01   4.3760000e+03
   1.3500000e+01   8.0000000e+00   3.1800000e+02   2.1000000e+02   1.1000000e+01   4.3820000e+03
   1.8500000e+01   8.0000000e+00   3.0400000e+02   1.9300000e+02   9.0000000e+00   4.7320000e+03
   1.4500000e+01   4.0000000e+00   9.7000000e+01   8.8000000e+01   2.7000000e+01   2.1300000e+03
   1.5500000e+01   4.0000000e+00   1.4000000e+02   9.0000000e+01   2.8000000e+01   2.2640000e+03
   1.4000000e+01   4.0000000e+00   1.1300000e+02   9.5000000e+01   2.5000000e+01   2.2280000e+03
   1.9000000e+01   4.0000000e+00   9.8000000e+01             NaN   2.5000000e+01   2.0460000e+03
   2.0000000e+01   4.0000000e+00   9.7000000e+01   4.8000000e+01             NaN   1.9780000e+03
   1.3000000e+01   6.0000000e+00   2.3200000e+02   1.0000000e+02   1.9000000e+01   2.6340000e+03
   1.5500000e+01   6.0000000e+00   2.2500000e+02   1.0500000e+02   1.6000000e+01   3.4390000e+03
   1.5500000e+01   6.0000000e+00   2.5000000e+02   1.0000000e+02   1.7000000e+01   3.3290000e+03
   1.5500000e+01   6.0000000e+00   2.5000000e+02   8.8000000e+01   1.9000000e+01   3.3020000e+03
   1.5500000e+01   6.0000000e+00   2.3200000e+02   1.0000000e+02   1.8000000e+01   3.2880000e+03
   1.2000000e+01   8.0000000e+00   3.5000000e+02   1.6500000e+02   1.4000000e+01   4.2090000e+03
   1.1500000e+01   8.0000000e+00   4.0000000e+02   1.7500000e+02   1.4000000e+01   4.4640000e+03
   1.3500000e+01   8.0000000e+00   3.5100000e+02   1.5300000e+02   1.4000000e+01   4.1540000e+03
   1.3000000e+01   8.0000000e+00   3.1800000e+02   1.5000000e+02   1.4000000e+01   4.0960000e+03
   1.1500000e+01   8.0000000e+00   3.8300000e+02   1.8000000e+02   1.2000000e+01   4.9550000e+03
   1.2000000e+01   8.0000000e+00   4.0000000e+02   1.7000000e+02   1.3000000e+01   4.7460000e+03
   1.2000000e+01   8.0000000e+00   4.0000000e+02   1.7500000e+02   1.3000000e+01   5.1400000e+03
   1.3500000e+01   6.0000000e+00   2.5800000e+02   1.1000000e+02   1.8000000e+01   2.9620000e+03
   1.9000000e+01   4.0000000e+00   1.4000000e+02   7.2000000e+01   2.2000000e+01   2.4080000e+03
   1.5000000e+01   6.0000000e+00   2.5000000e+02   1.0000000e+02   1.9000000e+01   3.2820000e+03
   1.4500000e+01   6.0000000e+00   2.5000000e+02   8.8000000e+01   1.8000000e+01   3.1390000e+03
   1.4000000e+01   4.0000000e+00   1.2200000e+02   8.6000000e+01   2.3000000e+01   2.2200000e+03
   1.4000000e+01   4.0000000e+00   1.1600000e+02   9.0000000e+01   2.8000000e+01   2.1230000e+03
   1.9500000e+01   4.0000000e+00   7.9000000e+01   7.0000000e+01   3.0000000e+01   2.0740000e+03
   1.4500000e+01   4.0000000e+00   8.8000000e+01   7.6000000e+01   3.0000000e+01   2.0650000e+03
   1.9000000e+01   4.0000000e+00   7.1000000e+01   6.5000000e+01   3.1000000e+01   1.7730000e+03
   1.8000000e+01   4.0000000e+00   7.2000000e+01   6.9000000e+01   3.5000000e+01   1.6130000e+03
   1.9000000e+01   4.0000000e+00   9.7000000e+01   6.0000000e+01   2.7000000e+01   1.8340000e+03
   2.0500000e+01   4.0000000e+00   9.1000000e+01   7.0000000e+01   2.6000000e+01   1.9550000e+03
   1.5500000e+01   4.0000000e+00   1.1300000e+02   9.5000000e+01   2.4000000e+01   2.2780000e+03
   1.7000000e+01   4.0000000e+00   9.7500000e+01   8.0000000e+01   2.5000000e+01   2.1260000e+03
   2.3500000e+01   4.0000000e+00   9.7000000e+01   5.4000000e+01   2.3000000e+01   2.2540000e+03
   1.9500000e+01   4.0000000e+00   1.4000000e+02   9.0000000e+01   2.0000000e+01   2.4080000e+03
   1.6500000e+01   4.0000000e+00   1.2200000e+02   8.6000000e+01   2.1000000e+01   2.2260000e+03
   1.2000000e+01   8.0000000e+00   3.5000000e+02   1.6500000e+02   1.3000000e+01   4.2740000e+03
   1.2000000e+01   8.0000000e+00   4.0000000e+02   1.7500000e+02   1.4000000e+01   4.3850000e+03
   1.3500000e+01   8.0000000e+00   3.1800000e+02   1.5000000e+02   1.5000000e+01   4.1350000e+03
   1.3000000e+01   8.0000000e+00   3.5100000e+02   1.5300000e+02   1.4000000e+01   4.1290000e+03
   1.1500000e+01   8.0000000e+00   3.0400000e+02   1.5000000e+02   1.7000000e+01   3.6720000e+03
   1.1000000e+01   8.0000000e+00   4.2900000e+02   2.0800000e+02   1.1000000e+01   4.6330000e+03
   1.3500000e+01   8.0000000e+00   3.5000000e+02   1.5500000e+02   1.3000000e+01   4.5020000e+03
   1.3500000e+01   8.0000000e+00   3.5000000e+02   1.6000000e+02   1.2000000e+01   4.4560000e+03
   1.2500000e+01   8.0000000e+00   4.0000000e+02   1.9000000e+02   1.3000000e+01   4.4220000e+03
   1.3500000e+01   3.0000000e+00   7.0000000e+01   9.7000000e+01   1.9000000e+01   2.3300000e+03
   1.2500000e+01   8.0000000e+00   3.0400000e+02   1.5000000e+02   1.5000000e+01   3.8920000e+03
   1.4000000e+01   8.0000000e+00   3.0700000e+02   1.3000000e+02   1.3000000e+01   4.0980000e+03
   1.6000000e+01   8.0000000e+00   3.0200000e+02   1.4000000e+02   1.3000000e+01   4.2940000e+03
   1.4000000e+01   8.0000000e+00   3.1800000e+02   1.5000000e+02   1.4000000e+01   4.0770000e+03
   1.4500000e+01   4.0000000e+00   1.2100000e+02   1.1200000e+02   1.8000000e+01   2.9330000e+03
   1.8000000e+01   4.0000000e+00   1.2100000e+02   7.6000000e+01   2.2000000e+01   2.5110000e+03
   1.9500000e+01   4.0000000e+00   1.2000000e+02   8.7000000e+01   2.1000000e+01   2.9790000e+03
   1.8000000e+01   4.0000000e+00   9.6000000e+01   6.9000000e+01   2.6000000e+01   2.1890000e+03
   1.6000000e+01   4.0000000e+00   1.2200000e+02   8.6000000e+01   2.2000000e+01   2.3950000e+03
   1.7000000e+01   4.0000000e+00   9.7000000e+01   9.2000000e+01   2.8000000e+01   2.2880000e+03
   1.4500000e+01   4.0000000e+00   1.2000000e+02   9.7000000e+01   2.3000000e+01   2.5060000e+03
   1.5000000e+01   4.0000000e+00   9.8000000e+01   8.0000000e+01   2.8000000e+01   2.1640000e+03
   1.6500000e+01   4.0000000e+00   9.7000000e+01   8.8000000e+01   2.7000000e+01   2.1000000e+03
   1.3000000e+01   8.0000000e+00   3.5000000e+02   1.7500000e+02   1.3000000e+01   4.1000000e+03
   1.1500000e+01   8.0000000e+00   3.0400000e+02   1.5000000e+02   1.4000000e+01   3.6720000e+03
   1.3000000e+01   8.0000000e+00   3.5000000e+02   1.4500000e+02   1.3000000e+01   3.9880000e+03
   1.4500000e+01   8.0000000e+00   3.0200000e+02   1.3700000e+02   1.4000000e+01   4.0420000e+03
   1.2500000e+01   8.0000000e+00   3.1800000e+02   1.5000000e+02   1.5000000e+01   3.7770000e+03
   1.1500000e+01   8.0000000e+00   4.2900000e+02   1.9800000e+02   1.2000000e+01   4.9520000e+03
   1.2000000e+01   8.0000000e+00   4.0000000e+02   1.5000000e+02   1.3000000e+01   4.4640000e+03
   1.3000000e+01   8.0000000e+00   3.5100000e+02   1.5800000e+02   1.3000000e+01   4.3630000e+03
   1.4500000e+01   8.0000000e+00   3.1800000e+02   1.5000000e+02   1.4000000e+01   4.2370000e+03
   1.1000000e+01   8.0000000e+00   4.4000000e+02   2.1500000e+02   1.3000000e+01   4.7350000e+03
   1.1000000e+01   8.0000000e+00   4.5500000e+02   2.2500000e+02   1.2000000e+01   4.9510000e+03
   1.1000000e+01   8.0000000e+00   3.6000000e+02   1.7500000e+02   1.3000000e+01   3.8210000e+03
   1.6500000e+01   6.0000000e+00   2.2500000e+02   1.0500000e+02   1.8000000e+01   3.1210000e+03
   1.8000000e+01   6.0000000e+00   2.5000000e+02   1.0000000e+02   1.6000000e+01   3.2780000e+03
   1.6000000e+01   6.0000000e+00   2.3200000e+02   1.0000000e+02   1.8000000e+01   2.9450000e+03
   1.6500000e+01   6.0000000e+00   2.5000000e+02   8.8000000e+01   1.8000000e+01   3.0210000e+03
   1.6000000e+01   6.0000000e+00   1.9800000e+02   9.5000000e+01   2.3000000e+01   2.9040000e+03
   2.1000000e+01   4.0000000e+00   9.7000000e+01   4.6000000e+01   2.6000000e+01   1.9500000e+03
   1.4000000e+01   8.0000000e+00   4.0000000e+02   1.5000000e+02   1.1000000e+01   4.9970000e+03
   1.2500000e+01   8.0000000e+00   4.0000000e+02   1.6700000e+02   1.2000000e+01   4.9060000e+03
   1.3000000e+01   8.0000000e+00   3.6000000e+02   1.7000000e+02   1.3000000e+01   4.6540000e+03
   1.2500000e+01   8.0000000e+00   3.5000000e+02   1.8000000e+02   1.2000000e+01   4.4990000e+03
   1.5000000e+01   6.0000000e+00   2.3200000e+02   1.0000000e+02   1.8000000e+01   2.7890000e+03
   1.9000000e+01   4.0000000e+00   9.7000000e+01   8.8000000e+01   2.0000000e+01   2.2790000e+03
   1.9500000e+01   4.0000000e+00   1.4000000e+02   7.2000000e+01   2.1000000e+01   2.4010000e+03
   1.6500000e+01   4.0000000e+00   1.0800000e+02   9.4000000e+01   2.2000000e+01   2.3790000e+03
   1.3500000e+01   3.0000000e+00   7.0000000e+01   9.0000000e+01   1.8000000e+01   2.1240000e+03
   1.8500000e+01   4.0000000e+00   1.2200000e+02   8.5000000e+01   1.9000000e+01   2.3100000e+03
   1.4000000e+01   6.0000000e+00   1.5500000e+02   1.0700000e+02   2.1000000e+01   2.4720000e+03
   1.5500000e+01   4.0000000e+00   9.8000000e+01   9.0000000e+01   2.6000000e+01   2.2650000e+03
   1.3000000e+01   8.0000000e+00   3.5000000e+02   1.4500000e+02   1.5000000e+01   4.0820000e+03
   9.5000000e+00   8.0000000e+00   4.0000000e+02   2.3000000e+02   1.6000000e+01   4.2780000e+03
   1.9500000e+01   4.0000000e+00   6.8000000e+01   4.9000000e+01   2.9000000e+01   1.8670000e+03
   1.5500000e+01   4.0000000e+00   1.1600000e+02   7.5000000e+01   2.4000000e+01   2.1580000e+03
   1.4000000e+01   4.0000000e+00   1.1400000e+02   9.1000000e+01   2.0000000e+01   2.5820000e+03
   1.5500000e+01   4.0000000e+00   1.2100000e+02   1.1200000e+02   1.9000000e+01   2.8680000e+03
   1.1000000e+01   8.0000000e+00   3.1800000e+02   1.5000000e+02   1.5000000e+01   3.3990000e+03
   1.4000000e+01   4.0000000e+00   1.2100000e+02   1.1000000e+02   2.4000000e+01   2.6600000e+03
   1.3500000e+01   6.0000000e+00   1.5600000e+02   1.2200000e+02   2.0000000e+01   2.8070000e+03
   1.1000000e+01   8.0000000e+00   3.5000000e+02   1.8000000e+02   1.1000000e+01   3.6640000e+03
   1.6500000e+01   6.0000000e+00   1.9800000e+02   9.5000000e+01   2.0000000e+01   3.1020000e+03
   1.7000000e+01   6.0000000e+00   2.0000000e+02             NaN   2.1000000e+01   2.8750000e+03
   1.6000000e+01   6.0000000e+00   2.3200000e+02   1.0000000e+02   1.9000000e+01   2.9010000e+03
   1.7000000e+01   6.0000000e+00   2.5000000e+02   1.0000000e+02   1.5000000e+01   3.3360000e+03
   1.9000000e+01   4.0000000e+00   7.9000000e+01   6.7000000e+01   3.1000000e+01   1.9500000e+03
   1.6500000e+01   4.0000000e+00   1.2200000e+02   8.0000000e+01   2.6000000e+01   2.4510000e+03
   2.1000000e+01   4.0000000e+00   7.1000000e+01   6.5000000e+01   3.2000000e+01   1.8360000e+03
   1.7000000e+01   4.0000000e+00   1.4000000e+02   7.5000000e+01   2.5000000e+01   2.5420000e+03
   1.7000000e+01   6.0000000e+00   2.5000000e+02   1.0000000e+02   1.6000000e+01   3.7810000e+03
   1.8000000e+01   6.0000000e+00   2.5800000e+02   1.1000000e+02   1.6000000e+01   3.6320000e+03
   1.6500000e+01   6.0000000e+00   2.2500000e+02   1.0500000e+02   1.8000000e+01   3.6130000e+03
   1.4000000e+01   8.0000000e+00   3.0200000e+02   1.4000000e+02   1.6000000e+01   4.1410000e+03
   1.4500000e+01   8.0000000e+00   3.5000000e+02   1.5000000e+02   1.3000000e+01   4.6990000e+03
   1.3500000e+01   8.0000000e+00   3.1800000e+02   1.5000000e+02   1.4000000e+01   4.4570000e+03
   1.6000000e+01   8.0000000e+00   3.0200000e+02   1.4000000e+02   1.4000000e+01   4.6380000e+03
   1.5500000e+01   8.0000000e+00   3.0400000e+02   1.5000000e+02   1.4000000e+01   4.2570000e+03
   1.6500000e+01   4.0000000e+00   9.8000000e+01   8.3000000e+01   2.9000000e+01   2.2190000e+03
   1.5500000e+01   4.0000000e+00   7.9000000e+01   6.7000000e+01   2.6000000e+01   1.9630000e+03
   1.4500000e+01   4.0000000e+00   9.7000000e+01   7.8000000e+01   2.6000000e+01   2.3000000e+03
   1.6500000e+01   4.0000000e+00   7.6000000e+01   5.2000000e+01   3.1000000e+01   1.6490000e+03
   1.9000000e+01   4.0000000e+00   8.3000000e+01   6.1000000e+01   3.2000000e+01   2.0030000e+03
   1.4500000e+01   4.0000000e+00   9.0000000e+01   7.5000000e+01   2.8000000e+01   2.1250000e+03
   1.5500000e+01   4.0000000e+00   9.0000000e+01   7.5000000e+01   2.4000000e+01   2.1080000e+03
   1.4000000e+01   4.0000000e+00   1.1600000e+02   7.5000000e+01   2.6000000e+01   2.2460000e+03
   1.5000000e+01   4.0000000e+00   1.2000000e+02   9.7000000e+01   2.4000000e+01   2.4890000e+03
   1.5500000e+01   4.0000000e+00   1.0800000e+02   9.3000000e+01   2.6000000e+01   2.3910000e+03
   1.6000000e+01   4.0000000e+00   7.9000000e+01   6.7000000e+01   3.1000000e+01   2.0000000e+03
   1.6000000e+01   6.0000000e+00   2.2500000e+02   9.5000000e+01   1.9000000e+01   3.2640000e+03
   1.6000000e+01   6.0000000e+00   2.5000000e+02   1.0500000e+02   1.8000000e+01   3.4590000e+03
   2.1000000e+01   6.0000000e+00   2.5000000e+02   7.2000000e+01   1.5000000e+01   3.4320000e+03
   1.9500000e+01   6.0000000e+00   2.5000000e+02   7.2000000e+01   1.5000000e+01   3.1580000e+03
   1.1500000e+01   8.0000000e+00   4.0000000e+02   1.7000000e+02   1.6000000e+01   4.6680000e+03
   1.4000000e+01   8.0000000e+00   3.5000000e+02   1.4500000e+02   1.5000000e+01   4.4400000e+03
   1.4500000e+01   8.0000000e+00   3.1800000e+02   1.5000000e+02   1.6000000e+01   4.4980000e+03
   1.3500000e+01   8.0000000e+00   3.5100000e+02   1.4800000e+02   1.4000000e+01   4.6570000e+03
   2.1000000e+01   6.0000000e+00   2.3100000e+02   1.1000000e+02   1.7000000e+01   3.9070000e+03
   1.8500000e+01   6.0000000e+00   2.5000000e+02   1.0500000e+02   1.6000000e+01   3.8970000e+03
   1.9000000e+01   6.0000000e+00   2.5800000e+02   1.1000000e+02   1.5000000e+01   3.7300000e+03
   1.9000000e+01   6.0000000e+00   2.2500000e+02   9.5000000e+01   1.8000000e+01   3.7850000e+03
   1.5000000e+01   6.0000000e+00   2.3100000e+02   1.1000000e+02   2.1000000e+01   3.0390000e+03
   1.3500000e+01   8.0000000e+00   2.6200000e+02   1.1000000e+02   2.0000000e+01   3.2210000e+03
   1.2000000e+01   8.0000000e+00   3.0200000e+02   1.2900000e+02   1.3000000e+01   3.1690000e+03
   1.6000000e+01   4.0000000e+00   9.7000000e+01   7.5000000e+01   2.9000000e+01   2.1710000e+03
   1.7000000e+01   4.0000000e+00   1.4000000e+02   8.3000000e+01   2.3000000e+01   2.6390000e+03
   1.6000000e+01   6.0000000e+00   2.3200000e+02   1.0000000e+02   2.0000000e+01   2.9140000e+03
   1.8500000e+01   4.0000000e+00   1.4000000e+02   7.8000000e+01   2.3000000e+01   2.5920000e+03
   1.3500000e+01   4.0000000e+00   1.3400000e+02   9.6000000e+01   2.4000000e+01   2.7020000e+03
   1.6500000e+01   4.0000000e+00   9.0000000e+01   7.1000000e+01   2.5000000e+01   2.2230000e+03
   1.7000000e+01   4.0000000e+00   1.1900000e+02   9.7000000e+01   2.4000000e+01   2.5450000e+03
   1.4500000e+01   6.0000000e+00   1.7100000e+02   9.7000000e+01   1.8000000e+01   2.9840000e+03
   1.4000000e+01   4.0000000e+00   9.0000000e+01   7.0000000e+01   2.9000000e+01   1.9370000e+03
   1.7000000e+01   6.0000000e+00   2.3200000e+02   9.0000000e+01   1.9000000e+01   3.2110000e+03
   1.5000000e+01   4.0000000e+00   1.1500000e+02   9.5000000e+01   2.3000000e+01   2.6940000e+03
   1.7000000e+01   4.0000000e+00   1.2000000e+02   8.8000000e+01   2.3000000e+01   2.9570000e+03
   1.4500000e+01   4.0000000e+00   1.2100000e+02   9.8000000e+01   2.2000000e+01   2.9450000e+03
   1.3500000e+01   4.0000000e+00   1.2100000e+02   1.1500000e+02   2.5000000e+01   2.6710000e+03
   1.7500000e+01   4.0000000e+00   9.1000000e+01   5.3000000e+01   3.3000000e+01   1.7950000e+03
   1.5500000e+01   4.0000000e+00   1.0700000e+02   8.6000000e+01   2.8000000e+01   2.4640000e+03
   1.6900000e+01   4.0000000e+00   1.1600000e+02   8.1000000e+01   2.5000000e+01   2.2200000e+03
   1.4900000e+01   4.0000000e+00   1.4000000e+02   9.2000000e+01   2.5000000e+01   2.5720000e+03
   1.7700000e+01   4.0000000e+00   9.8000000e+01   7.9000000e+01   2.6000000e+01   2.2550000e+03
   1.5300000e+01   4.0000000e+00   1.0100000e+02   8.3000000e+01   2.7000000e+01   2.2020000e+03
   1.3000000e+01   8.0000000e+00   3.0500000e+02   1.4000000e+02   1.7500000e+01   4.2150000e+03
   1.3000000e+01   8.0000000e+00   3.1800000e+02   1.5000000e+02   1.6000000e+01   4.1900000e+03
   1.3900000e+01   8.0000000e+00   3.0400000e+02   1.2000000e+02   1.5500000e+01   3.9620000e+03
   1.2800000e+01   8.0000000e+00   3.5100000e+02   1.5200000e+02   1.4500000e+01   4.2150000e+03
   1.5400000e+01   6.0000000e+00   2.2500000e+02   1.0000000e+02   2.2000000e+01   3.2330000e+03
   1.4500000e+01   6.0000000e+00   2.5000000e+02   1.0500000e+02   2.2000000e+01   3.3530000e+03
   1.7600000e+01   6.0000000e+00   2.0000000e+02   8.1000000e+01   2.4000000e+01   3.0120000e+03
   1.7600000e+01   6.0000000e+00   2.3200000e+02   9.0000000e+01   2.2500000e+01   3.0850000e+03
   2.2200000e+01   4.0000000e+00   8.5000000e+01   5.2000000e+01   2.9000000e+01   2.0350000e+03
   2.2100000e+01   4.0000000e+00   9.8000000e+01   6.0000000e+01   2.4500000e+01   2.1640000e+03
   1.4200000e+01   4.0000000e+00   9.0000000e+01   7.0000000e+01   2.9000000e+01   1.9370000e+03
   1.7400000e+01   4.0000000e+00   9.1000000e+01   5.3000000e+01   3.3000000e+01   1.7950000e+03
   1.7700000e+01   6.0000000e+00   2.2500000e+02   1.0000000e+02   2.0000000e+01   3.6510000e+03
   2.1000000e+01   6.0000000e+00   2.5000000e+02   7.8000000e+01   1.8000000e+01   3.5740000e+03
   1.6200000e+01   6.0000000e+00   2.5000000e+02   1.1000000e+02   1.8500000e+01   3.6450000e+03
   1.7800000e+01   6.0000000e+00   2.5800000e+02   9.5000000e+01   1.7500000e+01   3.1930000e+03
   1.2200000e+01   4.0000000e+00   9.7000000e+01   7.1000000e+01   2.9500000e+01   1.8250000e+03
   1.7000000e+01   4.0000000e+00   8.5000000e+01   7.0000000e+01   3.2000000e+01   1.9900000e+03
   1.6400000e+01   4.0000000e+00   9.7000000e+01   7.5000000e+01   2.8000000e+01   2.1550000e+03
   1.3600000e+01   4.0000000e+00   1.4000000e+02   7.2000000e+01   2.6500000e+01   2.5650000e+03
   1.5700000e+01   4.0000000e+00   1.3000000e+02   1.0200000e+02   2.0000000e+01   3.1500000e+03
   1.3200000e+01   8.0000000e+00   3.1800000e+02   1.5000000e+02   1.3000000e+01   3.9400000e+03
   2.1900000e+01   4.0000000e+00   1.2000000e+02   8.8000000e+01   1.9000000e+01   3.2700000e+03
   1.5500000e+01   6.0000000e+00   1.5600000e+02   1.0800000e+02   1.9000000e+01   2.9300000e+03
   1.6700000e+01   6.0000000e+00   1.6800000e+02   1.2000000e+02   1.6500000e+01   3.8200000e+03
   1.2100000e+01   8.0000000e+00   3.5000000e+02   1.8000000e+02   1.6500000e+01   4.3800000e+03
   1.2000000e+01   8.0000000e+00   3.5000000e+02   1.4500000e+02   1.3000000e+01   4.0550000e+03
   1.5000000e+01   8.0000000e+00   3.0200000e+02   1.3000000e+02   1.3000000e+01   3.8700000e+03
   1.4000000e+01   8.0000000e+00   3.1800000e+02   1.5000000e+02   1.3000000e+01   3.7550000e+03
   1.8500000e+01   4.0000000e+00   9.8000000e+01   6.8000000e+01   3.1500000e+01   2.0450000e+03
   1.4800000e+01   4.0000000e+00   1.1100000e+02   8.0000000e+01   3.0000000e+01   2.1550000e+03
   1.8600000e+01   4.0000000e+00   7.9000000e+01   5.8000000e+01   3.6000000e+01   1.8250000e+03
   1.5500000e+01   4.0000000e+00   1.2200000e+02   9.6000000e+01   2.5500000e+01   2.3000000e+03
   1.6800000e+01   4.0000000e+00   8.5000000e+01   7.0000000e+01   3.3500000e+01   1.9450000e+03
   1.2500000e+01   8.0000000e+00   3.0500000e+02   1.4500000e+02   1.7500000e+01   3.8800000e+03
   1.9000000e+01   8.0000000e+00   2.6000000e+02   1.1000000e+02   1.7000000e+01   4.0600000e+03
   1.3700000e+01   8.0000000e+00   3.1800000e+02   1.4500000e+02   1.5500000e+01   4.1400000e+03
   1.4900000e+01   8.0000000e+00   3.0200000e+02   1.3000000e+02   1.5000000e+01   4.2950000e+03
   1.6400000e+01   6.0000000e+00   2.5000000e+02   1.1000000e+02   1.7500000e+01   3.5200000e+03
   1.6900000e+01   6.0000000e+00   2.3100000e+02   1.0500000e+02   2.0500000e+01   3.4250000e+03
   1.7700000e+01   6.0000000e+00   2.2500000e+02   1.0000000e+02   1.9000000e+01   3.6300000e+03
   1.9000000e+01   6.0000000e+00   2.5000000e+02   9.8000000e+01   1.8500000e+01   3.5250000e+03
   1.1100000e+01   8.0000000e+00   4.0000000e+02   1.8000000e+02   1.6000000e+01   4.2200000e+03
   1.1400000e+01   8.0000000e+00   3.5000000e+02   1.7000000e+02   1.5500000e+01   4.1650000e+03
   1.2200000e+01   8.0000000e+00   4.0000000e+02   1.9000000e+02   1.5500000e+01   4.3250000e+03
   1.4500000e+01   8.0000000e+00   3.5100000e+02   1.4900000e+02   1.6000000e+01   4.3350000e+03
   1.4500000e+01   4.0000000e+00   9.7000000e+01   7.8000000e+01   2.9000000e+01   1.9400000e+03
   1.6000000e+01   4.0000000e+00   1.5100000e+02   8.8000000e+01   2.4500000e+01   2.7400000e+03
   1.8200000e+01   4.0000000e+00   9.7000000e+01   7.5000000e+01   2.6000000e+01   2.2650000e+03
   1.5800000e+01   4.0000000e+00   1.4000000e+02   8.9000000e+01   2.5500000e+01   2.7550000e+03
   1.7000000e+01   4.0000000e+00   9.8000000e+01   6.3000000e+01   3.0500000e+01   2.0510000e+03
   1.5900000e+01   4.0000000e+00   9.8000000e+01   8.3000000e+01   3.3500000e+01   2.0750000e+03
   1.6400000e+01   4.0000000e+00   9.7000000e+01   6.7000000e+01   3.0000000e+01   1.9850000e+03
   1.4100000e+01   4.0000000e+00   9.7000000e+01   7.8000000e+01   3.0500000e+01   2.1900000e+03
   1.4500000e+01   6.0000000e+00   1.4600000e+02   9.7000000e+01   2.2000000e+01   2.8150000e+03
   1.2800000e+01   4.0000000e+00   1.2100000e+02   1.1000000e+02   2.1500000e+01   2.6000000e+03
   1.3500000e+01   3.0000000e+00   8.0000000e+01   1.1000000e+02   2.1500000e+01   2.7200000e+03
   2.1500000e+01   4.0000000e+00   9.0000000e+01   4.8000000e+01   4.3100000e+01   1.9850000e+03
   1.4400000e+01   4.0000000e+00   9.8000000e+01   6.6000000e+01   3.6100000e+01   1.8000000e+03
   1.9400000e+01   4.0000000e+00   7.8000000e+01   5.2000000e+01   3.2800000e+01   1.9850000e+03
